username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bulgarianalien;2015-01-28 10:03;0;0;"atrona #beestinger #vs #needle #electronic #microscope #magnification http:// bit.ly/Lyubaka #bees #unique … http:// instagram.com/p/yZubWbyK3o/";;;#beestinger #vs #needle #electronic #microscope #magnification #bees #unique;"560453100562300929";https://twitter.com/bulgarianalien/status/560453100562300929
AlltopicsOnline;2014-12-22 13:18;0;0;"Needle vs. Bee stinger http:// bit.ly/1JJCqOT #beestinger pic.twitter.com/z0CCGAn7ui";;;#beestinger;"547093945067388930";https://twitter.com/AlltopicsOnline/status/547093945067388930
connect1492;2014-12-12 12:05;0;0;"A sewing needle vs bee stinger https://twitter.com/MicroscopePics/status/472139186880122884/photo/1 pic.twitter.com/cx2MQ8bCMh RT Unseen World @MicroPicx > #beeStinger #openToSee Wow! Bees know how 2 make a point";;@MicroPicx;#beeStinger #openToSee;"543451597607796736";https://twitter.com/connect1492/status/543451597607796736
agrawalkanu;2014-09-04 11:11;0;0;"A sewing #needle vs #beestinger https://twitter.com/Powerfulpixs/status/505550735027621888/photo/1 pic.twitter.com/eBowzGDBP1 "";;;#needle #beestinger;"507546589733216256";https://twitter.com/agrawalkanu/status/507546589733216256
FAlahori;2014-09-01 16:04;0;0;"Only Allah SWT Can Make Things with This Perfection #BeeStinger VS #Needle http:// instagram.com/p/sama1Hgs_3/";;;#BeeStinger #Needle;"506533032518778882";https://twitter.com/FAlahori/status/506533032518778882
