username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MariaDeLaGhetto;2015-10-14 21:19;0;0;"Video: I’m hangry. #doctorsoffice #target #dentist #rootcanal #adultingishard gimme some #percocet #rants ... http:// tmblr.co/ZBwjcx1wBbKd_";;;#doctorsoffice #target #dentist #rootcanal #adultingishard #percocet #rants;"654466542193803264";https://twitter.com/MariaDeLaGhetto/status/654466542193803264
MariaDeLaGhetto;2015-10-14 21:19;0;0;"I'm hangry. #doctorsoffice #target #dentist #rootcanal #adultingishard gimme some #percocet #rants … https:// instagram.com/p/81uyICiCHr/";;;#doctorsoffice #target #dentist #rootcanal #adultingishard #percocet #rants;"654466539094020096";https://twitter.com/MariaDeLaGhetto/status/654466539094020096
crushamolsoneh;2013-06-13 16:18;0;0;"I am so fucked up on so many different drugs right now I can't even feel my face . #rootcanal #percocet";;;#rootcanal #percocet;"345273966102974465";https://twitter.com/crushamolsoneh/status/345273966102974465
Adolfo_Vip;2013-03-16 06:24;0;0;"I can't stand the #PAIN ... #TOOTHACHE #ROOTCANAL #yesgawd #tooth #ache #percocet @Home in Union City,… http:// instagr.am/p/W6i_hzKT2S/";;@Home;#PAIN #TOOTHACHE #ROOTCANAL #yesgawd #tooth #ache #percocet;"312872038895341568";https://twitter.com/Adolfo_Vip/status/312872038895341568
LisafromNY;2010-01-26 16:00;0;0;"#percocet lol RT @julie_slp #rootcanal #fme";;@julie_slp;#percocet #rootcanal #fme;"8250286867";https://twitter.com/LisafromNY/status/8250286867
