username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
notsuggestive69;2012-08-06 01:37;0;0;"Rappers and artists now think they're badasses by doing heroin and coke. Truth is, 60-70's artists did so much LSD , coke, and peyote #class";;;#class;"232349652777836544";https://twitter.com/notsuggestive69/status/232349652777836544
_HankySpanky;2012-07-13 17:22;0;0;"Ppl who do lsd , extacy, heroin , scare me bc that shit is too much, and did I mention, ITS SCARY!!!";;;;"223890239532437504";https://twitter.com/_HankySpanky/status/223890239532437504
Sense__A;2012-07-03 04:33;0;0;"actually I lied I remember this morman kid did meth heroin lsd and etc shit was craaaaaazy";;;;"220072722535944192";https://twitter.com/Sense__A/status/220072722535944192
angelg2012;2012-06-16 00:12;0;0;"My bro is all LOOPY from the METH, HEROIN , WEED, and LSD he did ! No JK would've been bad ass but he got his wisdom teeth pulled out today!";;;;"213846596335579136";https://twitter.com/angelg2012/status/213846596335579136
soslytherchic92;2012-06-09 17:35;0;0;"He drinks heavily, he smokes weed, does lsd , shrooms, and probably heroin pretty soon. Smh. Wtf did i ever see in him??";;;;"211572220571561985";https://twitter.com/soslytherchic92/status/211572220571561985
Brewer_NoBeer;2012-06-06 22:28;0;0;"@M_Money_Milli but wasnt the guy on LSD and heroin too when he did that ? I've heard mad different things about it . They were satin he cut";;@M_Money_Milli;;"210558782693056512";https://twitter.com/Brewer_NoBeer/status/210558782693056512
hopesuckz;2012-06-03 09:01;0;0;"@claysforehead I thought he only did like weed and LSD or something not heroin :/ I know shawn said once max we need to give you medicine";;@claysforehead;;"209268688287830016";https://twitter.com/hopesuckz/status/209268688287830016
Brentjoness;2012-06-02 23:16;0;1;"#myfreashmanyear I did heroin coke weed ecstasy LSD and got drunk all in one night";;;#myfreashmanyear;"209121467596668928";https://twitter.com/Brentjoness/status/209121467596668928
masterPDAWG;2012-05-31 22:01;0;0;"Did anyone know that bath salts are just a mixture of meth, ecstasy, heroin , LSD , and all of those other drugs?";;;;"208377648123088896";https://twitter.com/masterPDAWG/status/208377648123088896
Qooks_;2012-05-25 16:17;0;0;"did you know that marijuana is a class 1 federal drug next to heroin and lsd . but cocain, morphine, and amphetamine are class 2 ???";;;;"206116859349696512";https://twitter.com/Qooks_/status/206116859349696512
CO0OK13;2012-05-15 02:44;0;0;"Did you know methamphetamin, heroin , cocaine, and crystal form LSD are more expensive than gold?";;;;"202288218266279937";https://twitter.com/CO0OK13/status/202288218266279937
cbabybake;2012-04-09 21:01;0;0;"did Pink Floyd do drugs? no, only pcp, acid, heroin , shrooms, and maybe LSD ..";;;;"189518556101218304";https://twitter.com/cbabybake/status/189518556101218304
Giesedoesit;2012-04-07 15:31;0;0;"they did hard drugs like lsd and heroin but its just weird to think what it would of been like to live then";;;;"188710513851633664";https://twitter.com/Giesedoesit/status/188710513851633664
mynameisdcon;2012-04-04 21:00;0;0;"Did you hear about the light bulb that did crack, heroin and LSD last night? He was so burned out.";;;;"187706279681204225";https://twitter.com/mynameisdcon/status/187706279681204225
AxelJoelCamargo;2012-03-28 20:03;0;0;"@AlexandraMaine I know.. It might be the heroin , cocaine, lsd , shrooms, and opium I just did .";;@AlexandraMaine;;"185155059091378177";https://twitter.com/AxelJoelCamargo/status/185155059091378177
belbiv10_4;2012-03-26 14:00;0;0;"@Purp_Herbstreit @NoHero2Hoes lol well it sounds like you did heroin and LSD";;@Purp_Herbstreit @NoHero2Hoes;;"184339106715799553";https://twitter.com/belbiv10_4/status/184339106715799553
USHEMP;2012-03-05 11:11;0;0;"@mrmicgooo I did heroin and LSD as early as 1966. They are not safe no matter how you do em. Giving up Liberty is more Dangerous than drugs.";;@mrmicgooo;;"176701513396264960";https://twitter.com/USHEMP/status/176701513396264960
ChaseJSuddarth;2012-01-24 16:30;0;0;"Video: collegehumor: I did Cocaine, LSD , and some Heroin . http:// tmblr.co/ZTK4ZyFIyKQQ";;;;"161923979853049856";https://twitter.com/ChaseJSuddarth/status/161923979853049856
kristovbagas;2012-01-05 07:22;0;1;"If consuming LSD or heroin is considered as a sin, well they're made by human after all. But what did pigs and marijuana do wrong?";;;;"154900504437207040";https://twitter.com/kristovbagas/status/154900504437207040
bigmoneylive;2011-11-22 10:19;0;0;"@jaymoney500 we watched movies on weed, cocaine, heroin , lsd , and some other drugs lol we did worksheets ..group discussions";;@jaymoney500;;"139000166530301953";https://twitter.com/bigmoneylive/status/139000166530301953
stashjules;2011-11-16 20:17;0;0;"@DaNotoriousFLEE lmao... Heroin is much but Shrooms yes and LSD which Steve Jobs and Francis Krick did ..which is awesome";;@DaNotoriousFLEE;;"136976319920619520";https://twitter.com/stashjules/status/136976319920619520
iAMMelRN;2011-11-02 22:20;0;0;"Four Loko had me feeling like I did lsd , weed, crack, crystal meth, drunk a 40, and shot up some heroin all at once!";;;;"131918596870909952";https://twitter.com/iAMMelRN/status/131918596870909952
420PH;2011-10-09 03:04;0;0;"He also smoked cigs, drank a lot, and did LSD and heroin . He wasn't exactly clean. But that doesn't mean he isn't... http:// fb.me/zpCfauIA";;;;"122930537538129921";https://twitter.com/420PH/status/122930537538129921
tayloramiles;2011-09-27 23:05;0;0;"Did you know that Dan Rather used LSD and Heroin ? http:// goo.gl/bDqQr #drugs";;;#drugs;"118884114664394753";https://twitter.com/tayloramiles/status/118884114664394753
lsduhe;2011-09-16 15:54;0;0;"Did they just really bleep " heroin " and "drugs" on the radio and leave "fuck" in the song? <3 LSD";;;;"114789272745279488";https://twitter.com/lsduhe/status/114789272745279488
arndtjc;2011-09-08 12:57;0;0;"@SwaggerlikeM1KE did you know cocaine is a schedule 2 drug with medical purposes while weed is schedule 1 with heroin , lsd , and shrooms?";;@SwaggerlikeM1KE;;"111845706146398209";https://twitter.com/arndtjc/status/111845706146398209
PsychedelicFlys;2011-08-27 21:22;0;0;"I was lucky in my life. I HATE heroin ! It did nothing for me! I know the cure for heroin addiction- SMOKE lots of weed as a kid And do LSD !";;;;"107623963752009728";https://twitter.com/PsychedelicFlys/status/107623963752009728
nolaspalding;2011-07-13 00:33;0;0;"My generation is not the first to do drugs and drink booze. What about the hippies that smoked pot (in public) did LSD , shot heroin .";;;;"91002202914684928";https://twitter.com/nolaspalding/status/91002202914684928
AbuDhabiMyNinja;2011-05-19 11:34;0;0;"@BazkitC8s I know they created LSD , but did they create heroin and meth?";;@BazkitC8s;;"71237240835158016";https://twitter.com/AbuDhabiMyNinja/status/71237240835158016
heyitsgerard;2011-04-20 00:51;0;0;"@yogaby I love how Bourdain did heroin , weed, LSD and XTC and now he gets paid to tell people how bad their food sucks.";;@yogaby;;"60566289151832064";https://twitter.com/heyitsgerard/status/60566289151832064
KennyPowers15;2011-02-15 10:42;0;0;""my brothers did heroin and LSD " towler "so you didnt do drugs not even marijuana?" student "well everyone smokes pot"towler #the truth";;;#the;"37537206184714240";https://twitter.com/KennyPowers15/status/37537206184714240
brewdevill;2011-02-01 18:49;0;0;"Hahaha this dude said he did lsd , pcp, coke, crack and heroin and said they cant arrest him cause he knows his rights";;;;"32586391607050240";https://twitter.com/brewdevill/status/32586391607050240
Ghenghis;2011-01-02 17:29;0;0;"@Way_TooTall @kenobi_pnet the CIA did do sterling work! They invented Acid FFS ( LSD ) and they promoted Heroin growth during the Vietnam war";;@Way_TooTall @kenobi_pnet;;"21694600670347264";https://twitter.com/Ghenghis/status/21694600670347264
LisaLisa1908;2010-09-16 18:27;0;0;"@kd1914 did you read the bullshit in the paper today? rob and i were like WTF is the city on, heroin ? 'cane? ' LSD ? wtf!";;@kd1914;;"24702797310";https://twitter.com/LisaLisa1908/status/24702797310
offmyVICKIES;2010-09-05 13:42;0;0;"All yall pill poppers.... did u know it had heroin lsd and meth in those things...smh..";;;;"23076615131";https://twitter.com/offmyVICKIES/status/23076615131
Evil_angel187;2010-07-31 13:48;0;0;"@EchoEveMorrow super skittles arent a big deal lsd he needs a good slap for and if i ever find out he did heroin ill beat him within an ...";;@EchoEveMorrow;;"20007972495";https://twitter.com/Evil_angel187/status/20007972495
echoevemorrow;2010-07-31 13:46;0;0;"@Evil_angel187 ha. pat bought fucking lsd . and , few weeks ago he did 16 motherfucking super skittles. i'm just waitin fer heroin . i'll kill.";;@Evil_angel187;;"20007855757";https://twitter.com/echoevemorrow/status/20007855757
fa3ryg1rl;2010-04-13 18:21;0;0;"@lisahi they still had to know that using LSD and heroin and whatever else they did was bad";;@lisahi;;"12127517884";https://twitter.com/fa3ryg1rl/status/12127517884
hardcoredizzle;2010-04-11 17:58;0;0;"RT @Kool_Ayd : I did , with my friends, Coke, xtc, dope, crack, and GHB. Ice, speed, k, nitrous and heroin . Mescaline, DMT, shrooms, and LSD .";;@Kool_Ayd;;"12011871892";https://twitter.com/hardcoredizzle/status/12011871892
egbertattrick;2009-12-31 02:49;0;0;"#inthisdecade I did pot, LSD , shrooms, coke, heroin , alcohol, tobacco, inhalants, myriad pills, sex, Gicked, and red meat. TEN MORE YEARS!";;;#inthisdecade;"7227129381";https://twitter.com/egbertattrick/status/7227129381
ThaRealCRAIG;2009-11-06 19:42;0;0;"found out what drugs Chris Anderson did methamphetamine; cocaine; LSD ; opiates, including heroin , codeine and morphine; and PCP... lol";;;;"5493941413";https://twitter.com/ThaRealCRAIG/status/5493941413
