username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
yeouxleigh;2017-09-16 02:34;0;0;"Ok, so murder a heroin dealer right? It's like saying prostitutes can't get raped.";;;;"908942203011031043";https://twitter.com/yeouxleigh/status/908942203011031043
sassalacious;2017-09-16 02:22;0;1;"Here's an idea: don't commit crimes. You'll be less likely to get shot. Don't engage in a high speed chase with heroin in your car.";;;;"908939107396653056";https://twitter.com/sassalacious/status/908939107396653056
Him_Again_;2017-09-16 02:09;0;0;"Translation: a black guy who sells heroin must have a gun. I get the logic, but then I don't. https:// twitter.com/ryanjreilly/st atus/908698274676211713 …";;;;"908935869486239745";https://twitter.com/Him_Again_/status/908935869486239745
UsOwls;2017-09-16 01:50;4;10;"Those who are NOT heroin dealers & live law-abiding lives Seem to NEVER get shot by LEO's. I wonder WHY #BlueLivesMatter #STLverdict";;;#BlueLivesMatter #STLverdict;"908930991183613952";https://twitter.com/UsOwls/status/908930991183613952
ChazzBurgundy;2017-09-16 01:47;0;2;"A heroin dealer dies and all his "friends" get upset ,hmm,SUSPECTS";;;;"908930402529681408";https://twitter.com/ChazzBurgundy/status/908930402529681408
shnikies78;2017-09-16 01:46;0;0;"You may be right barb but this is why. You act like animals you get treated like them. Why are you defending a heroin dealer? pic.twitter.com/llKWBKbmV6";;;;"908930128314601472";https://twitter.com/shnikies78/status/908930128314601472
mikeypredsfan;2017-09-16 01:43;0;0;"Yeah how are people even gonna get their heroin now?";;;;"908929424095145985";https://twitter.com/mikeypredsfan/status/908929424095145985
intrepid_heroin;2017-09-16 01:25;3;0;"And get worked https:// twitter.com/iamking_rl/sta tus/908924020455653376 …";;;;"908924756631494657";https://twitter.com/intrepid_heroin/status/908924756631494657
Conssista;2017-09-16 01:19;0;1;"Wake up! Police officers put their lives in the lines. Don't deal heroin . Don't speed off from cops. Then u don't get shot. #ObeyTheLaw";;;#ObeyTheLaw;"908923257876709376";https://twitter.com/Conssista/status/908923257876709376
Susiehs;2017-09-16 01:16;0;0;"If you deal heroin , run from cops, and try to run them over, you might get shot. Black, white, or brown.";;;;"908922495016800256";https://twitter.com/Susiehs/status/908922495016800256
Kate4Love;2017-09-16 01:11;0;0;"we should protest for people who CHOSE to go buy heroin and inject it into their own veins? how did it get her from over seas?";;;;"908921281344569344";https://twitter.com/Kate4Love/status/908921281344569344
Shelia_Kay;2017-09-16 00:59;0;1;"I am sorry. Get him help ASAP. I had a brother on heroin plus the VA's never ending supply of opiates until it killed him. Awful stuff";;;;"908918308224761856";https://twitter.com/Shelia_Kay/status/908918308224761856
Kate4Love;2017-09-16 00:49;0;0;"question: heroin starts in afghanistan. how does it get here?";;;;"908915820377640960";https://twitter.com/Kate4Love/status/908915820377640960
ThomasW04950025;2017-09-16 00:46;5;16;"Heroin pushers are thugs they kill addicted people doesn't matter if they're white black Brown orange or green get over the race card";;;;"908915040048295936";https://twitter.com/ThomasW04950025/status/908915040048295936
EriKRHaberman;2017-09-16 00:43;0;1;"#STLVerdict need to get rid of heroin in this country";;;#STLVerdict;"908914165628227584";https://twitter.com/EriKRHaberman/status/908914165628227584
WmPatrickHenry;2017-09-16 00:41;3;2;"He'll probably get a Community Center named after him, just as fellow Heroin dealer Freddie Gray did in Baltimore. #STLVerdict https:// twitter.com/mrjohnqzombie/ status/908886065553006592 …";;;#STLVerdict;"908913682100482049";https://twitter.com/WmPatrickHenry/status/908913682100482049
Mikes_idea;2017-09-16 00:16;0;0;"Let the heroin dealers pay for it in fines when they get released to go back out there to deal http:// again.You know they'll get out.";;;;"908907393207107585";https://twitter.com/Mikes_idea/status/908907393207107585
Frankb550;2017-09-16 00:11;0;0;"You complain about Urban crimes then when a heroin dealer who was armed get shot you complain again. You don't want to stop crime";;;;"908906071577767941";https://twitter.com/Frankb550/status/908906071577767941
JJGomez127;2017-09-16 00:09;0;1;"So dealing heroin should get you killed by a cop? Not arrested?";;;;"908905751992729600";https://twitter.com/JJGomez127/status/908905751992729600
pdx_mavs;2017-09-16 00:08;0;0;"Multiple gangs of heroin dealers try to evade police and not get killed by eachother. Nothing changes at all. The end. #ExplainTVShowsBadly";;;#ExplainTVShowsBadly;"908905296084402177";https://twitter.com/pdx_mavs/status/908905296084402177
brstanley33;2017-09-16 00:01;0;1;"push em to get degrees in engineering, IT, Business, and don't deal heroin and guns like Smith. and don't blame system for being poor #stl";;;#stl;"908903573689221122";https://twitter.com/brstanley33/status/908903573689221122
cherie_sprenger;2017-09-16 00:00;1;5;"How about they stop being heroin dealers and they might not get shot. He was garbage and ended up in the garbage.";;;;"908903372643799042";https://twitter.com/cherie_sprenger/status/908903372643799042
AaronReaka;2017-09-15 23:54;0;0;"Heroin dealers with guns who smash a police cruiser , flee and illude, and refuse to show hands when prompted, may get shot, why protest?";;;;"908901781731708928";https://twitter.com/AaronReaka/status/908901781731708928
BostonGirlTinaG;2017-09-15 23:51;1;1;"We want heroin dealers off the streets. So maybe if we ask nicely, they'll get a legit 9 to 5 job and pay taxes? Doubt it! #BlueLivesMatter";;;#BlueLivesMatter;"908901239534100481";https://twitter.com/BostonGirlTinaG/status/908901239534100481
Lautergeist;2017-09-15 23:51;0;0;"He's selling heroin which leads to MORE crimes as people are addicted & need to steal/sell to get money. NOTHING abt this is positive";;;;"908901198090170368";https://twitter.com/Lautergeist/status/908901198090170368
