username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SusBoy911;2012-11-06 20:31;0;0;"#RootCanal = #Vicodin #sus #chill #flavors #yum #happy #heroWin http:// instagr.am/p/RtbqKrR27V/";;;#RootCanal #Vicodin #sus #chill #flavors #yum #happy #heroWin;"265989881099067393";https://twitter.com/SusBoy911/status/265989881099067393
cheapvicodins;2012-10-04 15:06;0;0;"Oh fuck no #dentist #dentaltools #rootcanal #pain #novacaine #lydocaine #hydrocodone #vicodin ... Buy Vicodin Online > http:// adf.ly/3A1Ql";;;#dentist #dentaltools #rootcanal #pain #novacaine #lydocaine #hydrocodone #vicodin;"253934089315442689";https://twitter.com/cheapvicodins/status/253934089315442689
J_So_Infinity;2012-09-14 20:11;0;0;"Sorry I haven't been tweeting but I've been out of it do to My #RootCanal on Wednesday but I'm back in action thanks to #Vicodin and #Sleep";;;#RootCanal #Vicodin #Sleep;"246763162924367874";https://twitter.com/J_So_Infinity/status/246763162924367874
killjoie;2012-08-30 08:47;0;0;"I feel like House this morning. #vicodin #rootcanal #itsnotlupus";;;#vicodin #rootcanal #itsnotlupus;"241155077878976513";https://twitter.com/killjoie/status/241155077878976513
koenvanderdrift;2012-08-25 14:16;0;0;"Watching back episodes of Mr. Monk #rootcanal #vicodin";;;#rootcanal #vicodin;"239425937442213888";https://twitter.com/koenvanderdrift/status/239425937442213888
Splinteredones;2012-08-04 09:53;0;0;"Plan is to stay in pjs until bbq this afternoon. Hot out so might blow that off though. #rootcanal #vicodin";;;#rootcanal #vicodin;"231749755426992129";https://twitter.com/Splinteredones/status/231749755426992129
jilliaanhammond;2012-05-11 15:18;0;0;"Ready to take ma #Vicodin #rootcanal";;;#Vicodin #rootcanal;"201028524507807745";https://twitter.com/jilliaanhammond/status/201028524507807745
enokuonisan;2012-04-19 17:15;0;0;"Dare I say that #rootcanal was worth it? #vicodin #dentist http:// instagr.am/p/JnavfJOxsl/";;;#rootcanal #vicodin #dentist;"193085481112711168";https://twitter.com/enokuonisan/status/193085481112711168
Blizz703;2012-01-25 23:27;0;0;"Dis fuckn #ROOTCANAL got a nigga hurtn over here! @work still getn dat fetti tho! Finna pop dis #VICODIN #NUMBNUMBNUMBNUMB ! LLS";;@work;#ROOTCANAL #VICODIN #NUMBNUMBNUMBNUMB;"162391068510388224";https://twitter.com/Blizz703/status/162391068510388224
DawsonTracy;2011-07-15 17:02;0;0;"Paul Simon is the only answer. #rootcanal #vicodin #orgasms #easytiger #BLT";;;#rootcanal #vicodin #orgasms #easytiger #BLT;"91975960638922752";https://twitter.com/DawsonTracy/status/91975960638922752
cheapvicodins;2011-06-23 18:02;0;0;"that #rootcanal sucked this #vicodin doesn't Buy Vicodin Online > http://bit.ly/hZRZwX";;;#rootcanal #vicodin;"84018520224038912";https://twitter.com/cheapvicodins/status/84018520224038912
JoeyParty;2011-06-23 17:57;1;0;"that #rootcanal sucked. this #vicodin doesn't.";;;#rootcanal #vicodin;"84017302764404737";https://twitter.com/JoeyParty/status/84017302764404737
