username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2017-10-17 13:25;4182;23398;"Join me LIVE from the Rose Garden at 1:30pmE with Prime Minister Alexis Tsipras of Greece. http:// 45.wh.gov/91vp4k pic.twitter.com/dZB4mDBKpi";;;;"920340060947574786";https://twitter.com/realDonaldTrump/status/920340060947574786
realDonaldTrump;2017-10-17 12:16;11215;43971;""Dow Passes 23,000 for the First Time, Fueled by Strong Earnings" #Dow23K http:// 45.wh.gov/Dow23K pic.twitter.com/wlP0NCNcou";;;#Dow23K;"920322631412473856";https://twitter.com/realDonaldTrump/status/920322631412473856
realDonaldTrump;2017-10-17 08:39;8499;47925;"Rep.Tom Marino has informed me that he is withdrawing his name from consideration as drug czar. Tom is a fine man and a great Congressman!";;;;"920268091329859585";https://twitter.com/realDonaldTrump/status/920268091329859585
realDonaldTrump;2017-10-16 19:32;12062;63750;"Always great to see the wonderful people of South Carolina. Thank you for the beautiful welcome at Greenville-Spartanburg Int'l Airport! pic.twitter.com/maO9Nc0sTe";;;;"920069869365878785";https://twitter.com/realDonaldTrump/status/920069869365878785
realDonaldTrump;2017-10-16 09:12;34723;149730;"I was recently asked if Crooked Hillary Clinton is going to run in 2020? My answer was, "I hope so!"";;;;"919914000959397888";https://twitter.com/realDonaldTrump/status/919914000959397888
realDonaldTrump;2017-10-16 08:57;19291;93873;"The U.S. has gained more than 5.2 trillion dollars in Stock Market Value since Election Day! Also, record business enthusiasm.";;;;"919910256624447493";https://twitter.com/realDonaldTrump/status/919910256624447493
realDonaldTrump;2017-10-16 08:54;19861;90401;"Since Election Day on November 8, the Stock Market is up more than 25%, unemployment is at a 17 year low & companies are coming back to U.S.";;;;"919909494200528897";https://twitter.com/realDonaldTrump/status/919909494200528897
realDonaldTrump;2017-10-16 08:49;20570;74803;"Dem Senator Schumer hated the Iran deal made by President Obama, but now that I am involved, he is OK with it. Tell that to Israel, Chuck!";;;;"919908143475412993";https://twitter.com/realDonaldTrump/status/919908143475412993
realDonaldTrump;2017-10-16 08:21;12602;55648;"The Democrats only want to increase taxes and obstruct. That's all they are good at!";;;;"919901190376259586";https://twitter.com/realDonaldTrump/status/919901190376259586
realDonaldTrump;2017-10-16 08:17;12721;56486;"Art Laffer just said that he doesn't know how a Democrat could vote against the big tax cut/reform bill and live with themselves! @FoxNews";;@FoxNews;;"919900022409449474";https://twitter.com/realDonaldTrump/status/919900022409449474
